,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,oxidation_states,coordination_number
1030,mp-2583,TiRh,P4/mmm,tetragonal,0,30.08807327,8.321025549,0,-16.74254414,"[0, 0]",12
1031,mp-592,TiRu,Pm-3m,cubic,0,29.37437462,8.419437355,0,-18.69514571,"[0, 0]",0
1032,mp-1018028,TiS,P-6m2,hexagonal,0,29.88050209,4.442034081,0,-14.96792136,"[2, -2]",6
1033,mp-2187,TiSb,P6_3/mmc,hexagonal,0,88.79934235,6.344016809,0,-25.88643202,"[3, -3]",8
1034,mp-571651,TiSe,Pnma,orthorhombic,0.016105741,141.5376196,5.951808115,0,-54.45390401,"[2, -2]",8
1035,mp-7092,TiSi,Pnma,orthorhombic,0,119.4250716,4.22430874,0,-59.43398614,"[4, -4]",9
1036,mp-11573,TiTc,Pm-3m,cubic,0,29.98924073,8.076825091,0,-19.24925598,"[3, -3]",0
1037,mp-567832,TiTe,P6_3/mmc,hexagonal,0.093951556,85.21639937,6.838350612,0,-24.50608866,"[2, -2]",6
1038,mp-1007770,TlAs,F-43m,cubic,0.11588794,64.314864,7.211345389,0,-6.7883851,"[0, 0]",4
1039,mp-30083,TlBi,Pm-3m,cubic,0.111572786,63.60285632,10.79207149,0,-6.07761816,"[0, 0]",0
1040,mp-568560,TlBr,Fm-3m,cubic,0,77.95402321,6.055751177,2.3494,-5.76702343,[],6
1041,mp-567465,TlC,Fm-3m,cubic,2.106589045,31.86357245,11.2771627,0,-7.37524465,"[3, -3]",6
1042,mp-569639,TlCl,Fm-3m,cubic,0,69.66661048,5.7166201,2.5976,-6.24516845,[],6
1043,mp-720,TlF,Pbcm,orthorhombic,0,194.5788844,7.625370989,3.2635,-30.98290396,[],5
1044,mp-11473,TlHg,Pm-3m,cubic,0.001597457,59.08285938,11.38187949,0,-2.71137971,"[0, 0]",0
1045,mp-571102,TlI,Fm-3m,cubic,0,90.92611226,6.05014633,2.4361,-5.24873089,[],6
1046,mp-1017982,TlN,P6_3mc,hexagonal,0.721442349,73.30572532,9.894046479,0,-17.74248082,"[3, -3]",4
1047,mp-11524,TlNi,P6_3/mmc,hexagonal,0.227412512,76.11027326,11.47937379,0,-15.37329939,"[0, 0]",6
1048,mp-1007776,TlP,F-43m,cubic,0.23373222,57.305232,6.819963595,0.1266,-7.33705287,"[0, 0]",4
1049,mp-11553,TlPt,P6/mmm,hexagonal,0.602181539,152.3422572,13.06264729,0,-22.20538453,"[0, 0]",6
1050,mp-1066583,TlRe,Imma,orthorhombic,1.13879824,81.22407149,15.97039991,0,-25.05716725,"[0, 0]",12
1051,mp-561066,TlS,P4_12_12,tetragonal,0.028087744,1932.575453,6.501279131,0.8102,-222.5316624,"[0, 0]",8
1052,mp-1002219,TlSb,F-43m,cubic,0.152831734,78.33088627,6.913922678,0,-6.20696549,"[0, 0]",4
1053,mp-1836,TlSe,I4/mcm,tetragonal,0,243.9520384,7.714674113,0.3581,-25.63329569,"[0, 0]",10
1054,mp-2556,TlSn,P4/mmm,tetragonal,0.03847138,59.30067311,9.047267403,0,-6.27700514,"[0, 0]",12
1055,mp-2081,TlTe,I4/mcm,tetragonal,0.038210205,545.8097836,8.080049214,0,-47.64427031,"[0, 0]",12
1056,mp-2796,TmAg,Pm-3m,cubic,0,46.50627804,9.883422946,0,-8.01138121,"[0, 0]",0
1057,mp-16721,TmAl,Pbcm,orthorhombic,0,363.3223606,7.163352209,0,-72.2987309,"[0, 0]",7
1058,mp-1101,TmAs,Fm-3m,cubic,0,47.5505574,8.515822342,0,-12.12934229,"[3, -3]",6
1059,mp-1017507,TmAu,Cmcm,orthorhombic,0,92.62187729,13.11984934,0,-19.11955616,"[0, 0]",9
1060,mp-23234,TmBi,Fm-3m,cubic,0,61.5750411,10.19149906,0,-9.91202822,"[0, 0]",6
1061,mp-2502,TmCd,Pm-3m,cubic,0,50.77680357,9.200750728,0,-6.02569867,"[0, 0]",0
1062,mp-985,TmCu,Pm-3m,cubic,0,39.83034703,9.692169405,0,-9.16203399,"[0, 0]",0
1063,mp-1065301,TmGa,Cmcm,orthorhombic,0,92.23583032,8.593181616,0,-17.49530341,"[0, 0]",7
1064,mp-998911,TmGe,Cmcm,orthorhombic,0.024542439,87.78782295,9.138930656,0,-21.34534842,"[0, 0]",7
1065,mp-11475,TmHg,Pm-3m,cubic,0,49.92766181,12.28996842,0,-5.74338247,"[0, 0]",0
1066,mp-20848,TmIn,Pm-3m,cubic,0,51.58985631,9.133222374,0,-8.03508029,"[0, 0]",0
1067,mp-11483,TmIr,Pm-3m,cubic,0,38.69397177,15.49868534,0,-15.14824113,"[0, 0]",0
1068,mp-1505,TmMg,Pm-3m,cubic,0,52.75986035,6.081920142,0,-6.1926232,"[0, 0]",0
1069,mp-1975,TmN,Fm-3m,cubic,0,27.86220072,10.90296244,0.306,-16.45538885,"[3, -3]",6
1070,mp-11525,TmNi,Pnma,orthorhombic,0,152.9981938,9.882065394,0,-45.03380536,"[0, 0]",9
1071,mp-7171,TmP,Fm-3m,cubic,0,43.58368711,7.616496429,0,-13.09165877,"[3, -3]",6
1072,mp-348,TmPd,Pm-3m,cubic,0,41.61677136,10.98683074,0,-11.55170599,"[0, 0]",0
1073,mp-11564,TmRh,Pm-3m,cubic,0,38.71587221,11.65931264,0,-13.76681988,"[0, 0]",0
1074,mp-1766,TmS,Fm-3m,cubic,0,40.06242742,8.331173672,0,-12.46413975,"[0, 0]",6
1075,mp-2520,TmSb,Fm-3m,cubic,0,57.78658912,8.353306529,0,-10.72467128,"[3, -3]",6
1076,mp-2822,TmSe,Fm-3m,cubic,0,45.78198168,8.991266979,0,-11.27700057,"[0, 0]",6
1077,mp-1066975,TmSi,Cmcm,orthorhombic,0,82.92652683,7.89033227,0,-23.07265183,"[0, 0]",7
1078,mp-1094027,TmTe,P6_3/mmc,hexagonal,0,114.3895512,8.609294031,0,-20.02913177,"[0, 0]",6
1079,mp-515,TmTl,Pm-3m,cubic,0,53.23468957,11.64481872,0,-7.39493066,"[0, 0]",0
1080,mp-2316,TmZn,Pm-3m,cubic,0,43.77543189,8.88937101,0,-6.44760667,"[0, 0]",0
1081,mp-2104,UAs,Fm-3m,cubic,0,48.52653704,10.70891474,0,-17.39213326,"[3, -3]",6
1082,mp-1018042,UBi,Pm-3m,cubic,0.10990559,56.17577029,13.21346229,0,-14.95801521,"[0, 0]",0
1083,mp-2489,UC,Fm-3m,cubic,0,30.08645965,13.80024587,0,-20.7676244,"[4, -4]",6
1084,mp-1060884,UCd,R3m,trigonal,0.401938265,47.0624182,12.36483766,0,-11.39373626,"[0, 0]",10
1085,mp-1080107,UCo,I2_13,cubic,0,125.7503977,15.68558623,0,-75.74461929,"[0, 0]",11
1086,mp-1105762,UIr,P2_1,monoclinic,0,330.5246241,17.29227028,0,-168.4927406,"[0, 0]",7
1087,mp-1079710,UMo,P2_1/c,monoclinic,0.25036773,147.9857353,14.98978049,0,-86.54523876,"[0, 0]",11
1088,mp-1865,UN,Fm-3m,cubic,0,28.92369964,14.46962117,0,-22.24701748,"[3, -3]",6
1089,mp-7830,UO,Fm-3m,cubic,0.211428383,28.75751847,14.66830086,0,-20.76937485,"[0, 0]",6
1090,mp-2011,UP,Fm-3m,cubic,0,43.0658229,10.37224917,0,-18.64029992,"[3, -3]",6
1091,mp-571407,UPb,I4_1/amd,tetragonal,0.556771688,108.5014589,13.62783516,0,-27.78091237,"[0, 0]",12
1092,mp-569752,UPt,Cmcm,orthorhombic,0,88.96142447,16.16882624,0,-36.90085224,"[0, 0]",7
1093,mp-2423,US,Fm-3m,cubic,0,40.67606728,11.02617631,0,-17.92223147,"[0, 0]",6
1094,mp-177,USb,Pm-3m,cubic,0.025365608,51.88660277,11.51440852,0,-15.84294212,"[3, -3]",0
1095,mp-2143,USe,Fm-3m,cubic,0.146319387,47.09284472,11.1773343,0,-16.39246401,"[0, 0]",6
1096,mp-19715,USi,Pnma,orthorhombic,0.143570299,156.2152781,11.3149848,0,-68.1985048,"[4, -4]",11
1097,mp-11447,UTe,Pm-3m,cubic,0.083976007,52.84777181,11.48848983,0,-15.31717756,"[0, 0]",0
1098,mp-19940,VAs,Pnma,orthorhombic,0,122.9761477,6.798085596,0,-58.9441776,"[3, -3]",8
1099,mp-9973,VB,Cmcm,orthorhombic,0,36.41619518,5.631694261,0,-34.91460675,"[3, -3]",11
1100,mp-1282,VC,Fm-3m,cubic,0.087832596,18.02309334,5.800035846,0,-19.13191517,"[4, -4]",6
1101,mp-1002109,VCo,Pm-3m,cubic,0.139250264,24.27385535,7.516367747,0,-16.28242662,"[0, 0]",0
1102,mp-1335,VFe,Pm-3m,cubic,0.020631606,24.00458961,7.38705214,0,-17.81020908,"[0, 0]",0
1103,mp-1002114,VH,Fm-3m,cubic,0.018197653,15.31660736,5.632061499,0,-12.78203517,"[0, 0]",6
1104,mp-569250,VIr,Cmmm,orthorhombic,0,55.58722362,14.5275897,0,-37.98342482,"[0, 0]",11
1105,mp-1018027,VN,P-6m2,hexagonal,0,17.28723657,6.23865029,0,-19.7434431,"[3, -3]",6
1106,mp-19184,VO,Fm-3m,cubic,0.017362689,85.57003921,5.196116801,1.7867,-63.30177038,"[2, -2]",6
1107,mp-12778,VOs,Pm-3m,cubic,0.00416093,27.64450224,14.48659462,0,-20.7770793,"[2, -2]",0
1108,mp-1114,VP,P6_3/mmc,hexagonal,0,53.60994776,5.074561659,0,-32.25403091,"[3, -3]",6
1109,mp-2678,VPt,P4/mmm,tetragonal,0,28.65091654,14.25905358,0,-16.2556918,"[2, -2]",12
1110,mp-971751,VRh,Cmmm,orthorhombic,0,54.80204739,9.323336115,0,-34.44107611,"[0, 0]",11
1111,mp-1395,VRu,Pm-3m,cubic,0,27.3986844,9.212888863,0,-18.82570789,"[0, 0]",0
1112,mp-1868,VS,Pnma,orthorhombic,0.062966568,108.7116478,5.071601389,0,-60.03602866,"[2, -2]",8
1113,mp-7821,VSb,P6_3/mmc,hexagonal,0.232366533,82.99016618,6.911122144,0,-26.07021029,"[3, -3]",8
1114,mp-604914,VSe,P4/nmm,tetragonal,0.122385755,86.55523535,4.984251147,0,-27.37258243,"[2, -2]",8
1115,mp-2540,VTc,Pm-3m,cubic,0,27.70692038,8.926404522,0,-20.18892397,"[3, -3]",0
1116,mp-10256,VTe,P6_3/mmc,hexagonal,0.150412655,88.74898437,6.681206278,0,-25.12296649,"[2, -2]",8
1117,mp-1894,WC,P-6m2,hexagonal,0,21.18631365,15.3503693,0,-22.43018738,"[4, -4]",6
1118,mp-991,WN,P-6m2,hexagonal,0.288266678,20.83138186,15.77102166,0,-21.43561206,"[3, -3]",6
1119,mp-2474,YAg,Pm-3m,cubic,0,48.76806645,6.700101544,0,-9.9587341,"[0, 0]",0
1120,mp-11228,YAl,Cmcm,orthorhombic,0.004671874,99.19753738,3.879845028,0,-22.09747451,"[0, 0]",7
1121,mp-933,YAs,Fm-3m,cubic,0,49.6996951,5.473713277,0,-14.2223729,"[3, -3]",6
1122,mp-1066254,YAu,Cmcm,orthorhombic,0,97.15620597,9.77194025,0,-23.02341314,"[0, 0]",7
1123,mp-23241,YBi,Fm-3m,cubic,0,63.7393934,7.760534407,0,-12.13599679,"[0, 0]",6
1124,mp-998893,YC,Fm-3m,cubic,0.358979527,33.04097748,5.071758965,0,-15.60630618,"[3, -3]",6
1125,mp-915,YCd,Pm-3m,cubic,0,53.03896267,6.302809809,0,-8.10084069,"[0, 0]",0
1126,mp-540884,YCl,R-3m,trigonal,0.052253699,115.7854639,3.566988838,0,-22.58554894,"[0, 0]",6
1127,mp-865373,YCo,R-3m,trigonal,0,90.58133409,5.420377438,0,-27.93761434,"[0, 0]",0
1128,mp-1080443,YCu,Pnma,orthorhombic,0,173.6865529,5.830094464,0,-44.33094454,"[0, 0]",9
1129,mp-11420,YGa,Cmcm,orthorhombic,0,96.86614966,5.438626464,0,-21.66098748,"[0, 0]",11
1130,mp-9971,YGe,Cmcm,orthorhombic,0.004456269,92.01248419,5.830799969,0,-25.54857798,"[0, 0]",9
1131,mp-2399,YHg,Pm-3m,cubic,0,52.00551057,9.243619826,0,-7.80271002,"[0, 0]",0
1132,mp-1065933,YI,P-3m1,trigonal,0.115670983,150.1608042,4.773036068,0,-19.35069026,"[0, 0]",12
1133,mp-22704,YIn,Pm-3m,cubic,0,53.76798354,6.291688649,0,-10.18671097,"[0, 0]",0
1134,mp-30746,YIr,Pm-3m,cubic,0.015905936,40.64378692,11.48553101,0,-16.8594147,"[0, 0]",0
1135,mp-615,YMg,Pm-3m,cubic,0,54.97885308,3.419333592,0,-8.28803227,"[0, 0]",0
1136,mp-2114,YN,Fm-3m,cubic,0,29.75753567,5.742757452,0.2858,-18.17665808,"[3, -3]",6
1137,mp-1364,YNi,Pnma,orthorhombic,0,161.8107626,6.05878909,0,-52.44084592,"[0, 0]",9
1138,mp-994,YP,Fm-3m,cubic,0,45.80612356,4.34581151,0,-15.12835505,"[3, -3]",6
1139,mp-1066136,YPd,Cmcm,orthorhombic,0,90.82258833,7.142412711,0,-26.93328773,"[0, 0]",7
1140,mp-1025448,YPt,Pnma,orthorhombic,0,179.8067128,10.49073715,0,-60.20089511,"[0, 0]",7
1141,mp-191,YRh,Pm-3m,cubic,0,40.84708369,7.797624979,0,-15.49051657,"[0, 0]",0
1142,mp-1534,YS,Fm-3m,cubic,0,42.53752098,4.722344361,0,-14.59072466,"[0, 0]",6
1143,mp-215,YSb,Fm-3m,cubic,0,60.01735117,5.828629006,0,-12.91374592,"[3, -3]",6
1144,mp-2637,YSe,Fm-3m,cubic,0,48.33564917,5.766919585,0,-13.48311056,"[0, 0]",6
1145,mp-9972,YSi,Cmcm,orthorhombic,0,87.03744834,4.464025792,0,-27.192104,"[0, 0]",7
1146,mp-1708,YTe,Fm-3m,cubic,0.013134725,58.97466679,6.096116208,0,-12.22509201,"[0, 0]",6
1147,mp-999484,YTi,Pm-3m,cubic,0.364057513,48.95125955,4.639648964,0,-13.63301247,"[0, 0]",0
1148,mp-11575,YTl,Pm-3m,cubic,0,55.33861657,8.800691481,0,-9.56667313,"[0, 0]",0
1149,mp-2516,YZn,Pm-3m,cubic,0,46.09223221,5.55941478,0,-8.45794596,"[0, 0]",0
1150,mp-2266,YbAg,Pm-3m,cubic,0,48.37962768,9.641641793,0,-5.20224527,"[0, 0]",0
1151,mp-600,YbAs,Fm-3m,cubic,0.210411765,53.19960342,7.739717917,0,-7.8155431,"[3, -3]",6
1152,mp-1084808,YbAu,Pnma,orthorhombic,0,196.9512708,12.47842393,0,-26.8593702,"[0, 0]",7
1153,mp-1857,YbCd,Pm-3m,cubic,0,55.35517301,8.562931183,0,-3.2545453,"[0, 0]",0
1154,mp-1937,YbCu,Pnma,orthorhombic,0,173.6071455,9.051707971,0,-24.87236138,"[0, 0]",9
1155,mp-396,YbGa,P4/mmm,tetragonal,0,47.06810398,8.564556702,0,-5.6042339,"[0, 0]",0
1156,mp-2545,YbHg,Pm-3m,cubic,0,52.92444665,11.72288518,0,-3.11887475,"[0, 0]",0
1157,mp-2459,YbIn,Pm-3m,cubic,0,56.20921959,8.503933307,0,-5.28813687,"[0, 0]",0
1158,mp-568705,YbIr,Pm-3m,cubic,0.211722682,37.80139126,16.04500516,0,-11.01651831,"[0, 0]",0
1159,mp-1066,YbN,Fm-3m,cubic,0.321438523,29.90951227,10.38460105,0,-10.89964946,"[3, -3]",6
1160,mp-1080433,YbNi,Pnma,orthorhombic,0.022974929,158.6999127,9.698867685,0,-31.84900033,"[0, 0]",7
1161,mp-1216,YbO,Fm-3m,cubic,0,26.77706534,11.72299148,3.5311,-13.05924767,"[2, -2]",6
1162,mp-2390,YbP,Fm-3m,cubic,0,48.78385359,6.944363698,0,-8.42080447,"[3, -3]",6
1163,mp-2673,YbPb,P4/mmm,tetragonal,0,58.22878304,10.84349254,0,-6.33941781,"[0, 0]",12
1164,mp-2547,YbPd,Pm-3m,cubic,0,41.1651178,11.27299695,0,-8.4241036,"[0, 0]",0
1165,mp-570180,YbPt,Pnma,orthorhombic,0.018610212,175.3820796,13.94177295,0.0676,-38.81530827,"[2, -2]",7
1166,mp-567089,YbRh,Pm-3m,cubic,0,36.61930633,12.51302466,0,-10.11719602,"[0, 0]",0
1167,mp-567116,YbRu,Pm-3m,cubic,0.228111917,36.33086223,12.52847677,0,-10.35776055,"[0, 0]",0
1168,mp-1820,YbS,Fm-3m,cubic,0,45.42164054,7.498295113,2.444,-10.170025,"[2, -2]",6
1169,mp-1916,YbSb,Fm-3m,cubic,0.261454695,64.95918158,7.535915707,0,-6.95234868,"[3, -3]",6
1170,mp-286,YbSe,Fm-3m,cubic,0,51.75935156,8.084642334,2.0325,-9.20705352,"[2, -2]",6
1171,mp-10651,YbSi,Cmcm,orthorhombic,0,93.58326614,7.137531395,0,-16.13591556,"[0, 0]",7
1172,mp-2806,YbSn,P4/mmm,tetragonal,0,54.49676177,8.889744215,0,-6.8670468,"[0, 0]",12
1173,mp-1779,YbTe,Fm-3m,cubic,0,64.3315509,7.760180782,1.5273,-8.01405007,"[2, -2]",6
1174,mp-11576,YbTl,Pm-3m,cubic,0,57.50686883,10.89828306,0,-4.87492044,"[0, 0]",0
1175,mp-1703,YbZn,Pm-3m,cubic,0,47.11519366,8.403953145,0,-3.45128573,"[0, 0]",0
1176,mp-1912,ZnAg,Pm-3m,cubic,0,32.49874281,8.853682792,0,-4.19124144,"[0, 0]",0
1177,mp-7372,ZnAs,Pbca,orthorhombic,0.019185739,323.1992275,5.767945557,0.4504,-49.46212553,"[2, -2]",5
1178,mp-1684,ZnAu,Pm-3m,cubic,0,32.59311589,13.36738973,0,-4.96506019,"[0, 0]",0
1179,mp-1064405,ZnBi,P6_3mc,hexagonal,0.242918562,121.9216631,7.47421429,0,-9.32007972,"[0, 0]",5
1180,mp-987,ZnCu,Pm-3m,cubic,0,25.94937381,8.252022453,0,-5.53970087,"[0, 0]",0
1181,mp-999485,ZnN,F-43m,cubic,0.460502831,24.21646608,5.445586979,0,-8.35979756,"[2, -2]",4
1182,mp-429,ZnNi,P4/mmm,tetragonal,0,24.08648586,8.555705664,0,-7.54934876,"[0, 0]",12
1183,mp-2133,ZnO,P6_3mc,hexagonal,0,49.71871825,5.437864583,0.7316,-18.20488992,"[2, -2]",4
1184,mp-1652,ZnPd,P4/mmm,tetragonal,0,29.02976497,9.828834906,0,-7.586809,"[0, 0]",12
1185,mp-894,ZnPt,P4/mmm,tetragonal,0,29.3408744,14.74253279,0,-8.46144421,"[2, -2]",12
1186,mp-6938,ZnRh,Pm-3m,cubic,0,27.83019245,10.04279087,0,-9.39274563,"[0, 0]",0
1187,mp-556716,ZnS,P3m1,trigonal,0,566.7297571,3.998433753,1.2133,-98.27238828,"[2, -2]",4
1188,mp-753,ZnSb,Pbca,orthorhombic,0,404.6836614,6.144086677,0.0765,-43.55790117,"[2, -2]",5
1189,mp-1190,ZnSe,F-43m,cubic,0,47.33765261,5.064263884,1.6143,-6.18596764,"[2, -2]",4
1190,mp-2176,ZnTe,F-43m,cubic,0,59.14560337,5.418813343,1.0782,-5.3493586,"[2, -2]",4
1191,mp-11239,ZrAg,P4/nmm,tetragonal,0,81.77727373,8.085385116,0,-23.24573806,"[0, 0]",0
1192,mp-11233,ZrAl,Cmcm,orthorhombic,0.02272831,79.1211905,4.961626929,0,-26.4360577,"[0, 0]",7
1193,mp-1682,ZrAs,P6_3/mmc,hexagonal,0,165.9446235,6.650200619,0,-61.96550595,"[3, -3]",6
1194,mp-451,ZrB,Fm-3m,cubic,0.366766365,29.64048866,5.716272279,0,-15.97459057,"[3, -3]",6
1195,mp-30933,ZrBi,Cmcm,orthorhombic,0,307.8863041,9.714647145,0,-79.1128954,"[0, 0]",10
1196,mp-504594,ZrBr,R-3m,trigonal,0,104.7560971,5.425263775,0,-24.38513143,"[0, 0]",12
1197,mp-2795,ZrC,Fm-3m,cubic,0,26.36109489,6.50296405,0,-19.38443403,"[4, -4]",6
1198,mp-1017540,ZrCd,P4/nmm,tetragonal,0.001686735,89.61373402,7.546697535,0,-19.38266911,"[0, 0]",12
1199,mp-27440,ZrCl,R-3m,trigonal,0,101.8184765,4.131904435,0,-25.92467752,"[0, 0]",12
1200,mp-2283,ZrCo,Pm-3m,cubic,0,32.59528929,7.649629559,0,-16.23907874,"[0, 0]",0
1201,mp-1080022,ZrCu,Cm,monoclinic,0.021918799,142.2108035,7.228751264,0,-51.60698599,"[0, 0]",10
1202,mp-30682,ZrGa,I4_1/amd,tetragonal,0,155.9108754,6.856706576,0,-51.31446948,"[0, 0]",11
1203,mp-1025513,ZrGe,Pnma,orthorhombic,0,152.339583,7.14463223,0,-59.12369985,"[0, 0]",7
1204,mp-697179,ZrH,P4_2/mmc,tetragonal,0.000247393,52.83656736,5.797300892,0,-25.53108536,"[0, 0]",4
1205,mp-2510,ZrHg,P4/mmm,tetragonal,0,43.31134812,11.18802735,0,-9.19042914,"[0, 0]",12
1206,mp-568992,ZrIr,Cmcm,orthorhombic,0,149.4660548,12.59589956,0,-76.43930323,"[0, 0]",9
1207,mp-1352,ZrN,Fm-3m,cubic,0,24.61476584,7.098978293,0,-20.24033609,"[3, -3]",6
1208,mp-556,ZrNi,Cmcm,orthorhombic,0,67.31474488,7.396409209,0,-30.474983,"[0, 0]",7
1209,mp-10197,ZrO,Fm-3m,cubic,0.348493123,24.73907117,7.197062628,0,-17.92422109,"[2, -2]",6
1210,mp-11541,ZrOs,Pm-3m,cubic,0,35.6254488,13.11886245,0,-20.81547654,"[2, -2]",0
1211,mp-11345,ZrP,P6_3/mmc,hexagonal,0,150.3937251,5.396878293,0,-66.8367723,"[3, -3]",6
1212,mp-13495,ZrPd,Cmcm,orthorhombic,0,77.47170341,8.472656953,0,-30.0620913,"[0, 0]",9
1213,mp-1065995,ZrPt,Cmcm,orthorhombic,0,77.98220224,12.19318269,0,-33.5694386,"[2, -2]",9
1214,mp-669917,ZrRh,Pnma,orthorhombic,0,148.1728577,8.702258262,0,-70.02420398,"[0, 0]",9
1215,mp-214,ZrRu,Pm-3m,cubic,0,35.363647,9.029376954,0,-19.10770361,"[0, 0]",0
1216,mp-7859,ZrS,P4/nmm,tetragonal,0,72.63801283,5.636888813,0,-31.10243836,"[2, -2]",10
1217,mp-569671,ZrSb,P2_13,cubic,0,184.411418,7.671287524,0,-56.40656491,"[3, -3]",7
1218,mp-893,ZrSi,Pnma,orthorhombic,0,142.463071,5.562650989,0,-63.35876587,"[4, -4]",9
1219,mp-1539,ZrTe,P-6m2,hexagonal,0,48.73847228,7.455420405,0,-13.4861763,"[2, -2]",6
1220,mp-570276,ZrZn,Pm-3m,cubic,0,37.42708722,6.949384388,0.0231,-10.37633316,"[0, 0]",0
